QorA,Value,Pick
Answers,72 virgins
Answers,8 oz of sweet Mexican black-tar heroin
Answers,A bag of magic beans
Answers,A balanced breakfast
Answers,A beached whale
Answers,A big black dick
Answers,A big hoopla about nothing
Answers,A bleached asshole
Answers,A bloody pacifier
Answers,A Bop It
Answers,A brain tumor
Answers,A can of whoop-ass
Answers,A clandestine butt scratch
Answers,A cooler full of organs
Answers,A crappy little hand
Answers,A death ray
Answers,A defective condom
Answers,A disappointing birthday party
Answers,A drive-by shooting
Answers,A falcon with a cap on its head
Answers,A fetus
Answers,A foul mouth
Answers,A gassy antelope
Answers,A gentle caress of the inner thigh
Answers,A good sniff
Answers,A Gypsy curse
Answers,A homoerotic volleyball montage
Answers,A hot mess
Answers,A lifetime of sadness
Answers,A look-see
Answers,A low standard of living
Answers,A mating display
Answers,A micro-penis
Answers,A middle-aged man on roller skates
Answers,A mime having a stroke
Answers,A moment of silence
Answers,A monkey smoking a cigar
Answers,A mopey zoo lion
Answers,A murder most foul
Answers,A nuanced critique
Answers,A passionate Latino lover
Answers,A really cool hat
Answers,A rival dojo
Answers,A robust mongoloid
Answers,A sad handjob
Answers,A salty surprise
Answers,A sassy black woman
Answers,A sausage festival
Answers,A sea of troubles
Answers,A snapping turtle biting the tip of your penis
Answers,A stray pube
Answers,A Super Soaker full of cat pee
Answers,A thermonuclear detonation
Answers,A time travel paradox
Answers,A tiny horse
Answers,A web of lies
Answers,A windmill full of corpses
Answers,A woman scorned
Answers,A zesty breakfast burrito
Answers,Aaron Burr
Answers,Active listening
Answers,Actually taking candy from a baby
Answers,Adderall
Answers,African children
Answers,Agriculture
Answers,AIDS
Answers,Alcoholism
Answers,All-you-can-eat shrimp for $4.99
Answers,Altar boys
Answers,American Gladiators
Answers,Amputees
Answers,An asymmetric boob job
Answers,An erection that lasts longer than four hours
Answers,An honest cop with nothing left to lose
Answers,An icepick lobotomy
Answers,An M. Night Shyamalan plot twist
Answers,An Oedipus complex
Answers,Anal beads
Answers,Another goddamn vampire movie
Answers,Apologizing
Answers,Appreciative snapping
Answers,Arnold Schwarzenegger
Answers,Asians who aren't good at math
Answers,Assless chaps
Answers,Attitude
Answers,Auschwitz
Answers,Authentic Mexican cuisine
Answers,Autocannibalism
Answers,AXE Body Spray
Answers,Balls
Answers,Barack Obama
Answers,BATMAN!!!
Answers,Beating your wives
Answers,Bees?
Answers,Being a busy adult with many important things to do
Answers,Being a dick to children
Answers,Being a dinosaur
Answers,Being a motherfucking sorcerer
Answers,Being fabulous
Answers,Being marginalized
Answers,Being on fire
Answers,Being rich
Answers,Bill Nye the Science Guy
Answers,Bingeing and purging
Answers,Bitches
Answers,Black people
Answers,Bling
Answers,Booby-trapping the house to foil burglars
Answers,Boogers
Answers,Bosnian chicken farmers
Answers,Breaking out into song and dance
Answers,Cards Against Humanity
Answers,Carnies
Answers,Catapults
Answers,Centaurs
Answers,Chainsaws for hands
Answers,Charisma
Answers,Cheating in the Special Olympics
Answers,Child abuse
Answers,Child beauty pageants
Answers,Children on leashes
Answers,Chivalry
Answers,Christopher Walken
Answers,Chutzpah
Answers,Civilian casualties
Answers,Clams
Answers,Classist undertones
Answers,Coat hanger abortions
Answers,Cockfights
Answers,College
Answers,Concealing a boner
Answers,Consultants
Answers,Copping a feel
Answers,Coughing into a vagina
Answers,Count Chocula
Answers,Crippling debt
Answers,Crystal meth
Answers,Cuddling
Answers,Customer service representatives
Answers,Cybernetic enhancements
Answers,Daddy issues
Answers,Dancing with a broom
Answers,Darth Vader
Answers,Date rape
Answers,Dead babies
Answers,Dead parents
Answers,Deflowering the princess
Answers,Dental dams
Answers,Dick Cheney
Answers,Dick fingers
Answers,Doin' it in the butt
Answers,Doing the right thing
Answers,Domino's Oreo Dessert Pizza
Answers,Dorito breath
Answers,Drinking alone
Answers,Dropping a chandelier on your enemies and riding the rope up
Answers,Dry heaving
Answers,Dwarf tossing
Answers,Dying
Answers,Dying of dysentery
Answers,Eating all of the cookies before the AIDS bake-sale
Answers,Eating an albino
Answers,Eating the last known bison
Answers,Edible underpants
Answers,Elderly Japanese men
Answers,Embryonic stem cells
Answers,Emotions
Answers,Enormous Scandinavian women
Answers,Erectile dysfunction
Answers,Estrogen
Answers,Ethnic cleansing
Answers,Eugenics
Answers,Euphoria by Calvin Klein
Answers,Exactly what you'd expect
Answers,Exchanging pleasantries
Answers,Expecting a burp and vomiting on the floor
Answers,Explosions
Answers,Fabricating statistics
Answers,Famine
Answers,Fancy Feast
Answers,Farting and walking away
Answers,Fear itself
Answers,Feeding Rosie O'Donnell
Answers,Fiery poops
Answers,Figgy pudding
Answers,Finding a skeleton
Answers,Finger painting
Answers,Fingering
Answers,Firing a rifle into the air while balls deep in a squealing hog
Answers,Five-Dollar Footlongs
Answers,Flash flooding
Answers,Flesh-eating bacteria
Answers,Flightless birds
Answers,Flying sex snakes
Answers,Foreskin
Answers,Forgetting the Alamo
Answers,Former President George W. Bush
Answers,Free samples
Answers,Friction
Answers,Friendly fire
Answers,Friends who eat all the snacks
Answers,Friends with benefits
Answers,Frolicking
Answers,Full frontal nudity
Answers,Gandalf
Answers,Gandhi
Answers,Geese
Answers,Genetically engineered super-soldiers
Answers,Genghis Khan
Answers,Genital piercings
Answers,George Clooney's musk
Answers,German dungeon porn
Answers,Getting abducted by Peter Pan
Answers,Getting drunk on mouthwash
Answers,"Getting in her pants, politely"
Answers,Getting naked and watching Nickelodeon
Answers,Getting really high
Answers,Getting so angry that you pop a boner
Answers,Ghosts
Answers,Giving 110 percent
Answers,Gladiatorial combat
Answers,Glenn Beck being harried by a swarm of buzzards
Answers,Glenn Beck catching his scrotum on a curtain hook
Answers,Glenn Beck convulsively vomiting as a brood of crab spiders hatches in his brain and erupts from his tear ducts
Answers,Global warming
Answers,Gloryholes
Answers,Goats eating cans
Answers,Goblins
Answers,God
Answers,GoGurt
Answers,Golden showers
Answers,Good grammar
Answers,Grandma
Answers,Grave robbing
Answers,Guys who don't call
Answers,Half-assed foreplay
Answers,Harry Potter erotica
Answers,Heartwarming orphans
Answers,"Her Royal Highness, Queen Elizabeth II"
Answers,Heteronormativity
Answers,Hipsters
Answers,Historical revisionism
Answers,Historically black colleges
Answers,Home video of Oprah sobbing into a Lean Cuisine
Answers,Homeless people
Answers,Hope
Answers,Hormone injections
Answers,Horrifying laser hair removal accidents
Answers,Horse meat
Answers,Hot cheese
Answers,Hot people
Answers,Hot Pockets
Answers,Hulk Hogan
Answers,Hurricane Katrina
Answers,Inappropriate yodeling
Answers,Incest
Answers,Insatiable bloodlust
Answers,Intelligent design
Answers,Italians
Answers,Jafar
Answers,Jean-Claude Van Damme
Answers,Jerking off into a pool of children's tears
Answers,Jew-fros
Answers,Jewish fraternities
Answers,Jibber-jabber
Answers,John Wilkes Booth
Answers,Judge Judy
Answers,Just the tip
Answers,Justin Bieber
Answers,Kamikaze pilots
Answers,Kanye West
Answers,Keanu Reeves
Answers,Keg stands
Answers,Kids with ass cancer
Answers,Kim Jong-il
Answers,Lactation
Answers,Lady Gaga
Answers,Lance Armstrong's missing testicle
Answers,Land mines
Answers,Laying an egg
Answers,Leaving an awkward voicemail
Answers,Leprosy
Answers,Leveling up
